5 , 0.1 , 65
5 , 0.2 , 73
5 , 0.3 , 70
5 , 0.4 , 105
5 , 0.5 , 125
5 , 0.6 , 141
5 , 0.7 , 240
5 , 0.8 , 380
5 , 0.9 , 1346
6 , 0.1 , 77
6 , 0.2 , 83
6 , 0.3 , 92
6 , 0.4 , 122
6 , 0.5 , 146
6 , 0.6 , 199
6 , 0.7 , 282
6 , 0.8 , 411
6 , 0.9 , 2029
7 , 0.1 , 87
7 , 0.2 , 98
7 , 0.3 , 115
7 , 0.4 , 116
7 , 0.5 , 196
7 , 0.6 , 213
7 , 0.7 , 279
7 , 0.8 , 731
7 , 0.9 , 2387
8 , 0.1 , 94
8 , 0.2 , 105
8 , 0.3 , 121
8 , 0.4 , 157
8 , 0.5 , 181
8 , 0.6 , 241
8 , 0.7 , 397
8 , 0.8 , 739
8 , 0.9 , 2344
9 , 0.1 , 111
9 , 0.2 , 123
9 , 0.3 , 144
9 , 0.4 , 177
9 , 0.5 , 207
9 , 0.6 , 317
9 , 0.7 , 453
9 , 0.8 , 775
9 , 0.9 , 3424
10 , 0.1 , 121
10 , 0.2 , 124
10 , 0.3 , 184
10 , 0.4 , 199
10 , 0.5 , 235
10 , 0.6 , 282
10 , 0.7 , 431
10 , 0.8 , 1094
10 , 0.9 , 2842
11 , 0.1 , 135
11 , 0.2 , 141
11 , 0.3 , 170
11 , 0.4 , 206
11 , 0.5 , 265
11 , 0.6 , 364
11 , 0.7 , 455
11 , 0.8 , 1136
11 , 0.9 , 3532
12 , 0.1 , 145
12 , 0.2 , 156
12 , 0.3 , 197
12 , 0.4 , 198
12 , 0.5 , 286
12 , 0.6 , 371
12 , 0.7 , 634
12 , 0.8 , 1282
12 , 0.9 , 4164
13 , 0.1 , 156
13 , 0.2 , 176
13 , 0.3 , 199
13 , 0.4 , 245
13 , 0.5 , 295
13 , 0.6 , 419
13 , 0.7 , 712
13 , 0.8 , 1276
13 , 0.9 , 4619
14 , 0.1 , 160
14 , 0.2 , 202
14 , 0.3 , 217
14 , 0.4 , 243
14 , 0.5 , 346
14 , 0.6 , 420
14 , 0.7 , 684
14 , 0.8 , 1230
14 , 0.9 , 5056
15 , 0.1 , 184
15 , 0.2 , 191
15 , 0.3 , 238
15 , 0.4 , 279
15 , 0.5 , 369
15 , 0.6 , 466
15 , 0.7 , 749
15 , 0.8 , 1313
15 , 0.9 , 5020
5 , 0.72 , 299
5 , 0.74 , 245
5 , 0.76 , 315
5 , 0.78 , 409
5 , 0.8 , 387
5 , 0.82 , 599
5 , 0.84 , 653
5 , 0.86 , 1069
5 , 0.88 , 1070
6 , 0.72 , 368
6 , 0.74 , 282
6 , 0.76 , 388
6 , 0.78 , 445
6 , 0.8 , 578
6 , 0.82 , 702
6 , 0.84 , 910
6 , 0.86 , 1045
6 , 0.88 , 1288
7 , 0.72 , 397
7 , 0.74 , 501
7 , 0.76 , 588
7 , 0.78 , 480
7 , 0.8 , 545
7 , 0.82 , 706
7 , 0.84 , 1100
7 , 0.86 , 1312
7 , 0.88 , 1819
8 , 0.72 , 430
8 , 0.74 , 469
8 , 0.76 , 592
8 , 0.78 , 569
8 , 0.8 , 840
8 , 0.82 , 1007
8 , 0.84 , 1157
8 , 0.86 , 1775
8 , 0.88 , 2049
9 , 0.72 , 454
9 , 0.74 , 567
9 , 0.76 , 756
9 , 0.78 , 570
9 , 0.8 , 787
9 , 0.82 , 1210
9 , 0.84 , 1272
9 , 0.86 , 1721
9 , 0.88 , 2085
10 , 0.72 , 632
10 , 0.74 , 748
10 , 0.76 , 854
10 , 0.78 , 921
10 , 0.8 , 988
10 , 0.82 , 1081
10 , 0.84 , 1544
10 , 0.86 , 1869
10 , 0.88 , 2463
11 , 0.72 , 694
11 , 0.74 , 798
11 , 0.76 , 740
11 , 0.78 , 946
11 , 0.8 , 1113
11 , 0.82 , 1406
11 , 0.84 , 1732
11 , 0.86 , 1888
11 , 0.88 , 2882
12 , 0.72 , 688
12 , 0.74 , 795
12 , 0.76 , 791
12 , 0.78 , 1068
12 , 0.8 , 1341
12 , 0.82 , 1180
12 , 0.84 , 1633
12 , 0.86 , 2314
12 , 0.88 , 3249
13 , 0.72 , 827
13 , 0.74 , 1023
13 , 0.76 , 1120
13 , 0.78 , 1116
13 , 0.8 , 1426
13 , 0.82 , 1532
13 , 0.84 , 1980
13 , 0.86 , 2226
13 , 0.88 , 3895
14 , 0.72 , 820
14 , 0.74 , 959
14 , 0.76 , 1007
14 , 0.78 , 1137
14 , 0.8 , 1249
14 , 0.82 , 1549
14 , 0.84 , 2206
14 , 0.86 , 2538
14 , 0.88 , 3557
15 , 0.72 , 786
15 , 0.74 , 978
15 , 0.76 , 1127
15 , 0.78 , 1404
15 , 0.8 , 1248
15 , 0.82 , 1946
15 , 0.84 , 2449
15 , 0.86 , 3019
15 , 0.88 , 3955
